Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NC_000906	NC_000906.2	Lactococcus lactis IL964 plasmid pIL105, complete sequence	pIL105	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	8506	0.297907	NA	NA	NA	NA
NC_000914	NC_000914.2	Sinorhizobium fredii NGR234 plasmid pNGR234a, complete sequence	pNGR234a	Sinorhizobium fredii NGR234	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	536165	0.584932	NA	MOBQ	NA	NA
NC_000937	NC_000937.1	Streptococcus thermophilus ST135 plasmid pER35, complete sequence	pER35	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	9531	0.365439	NA	NA	NA	NA
NC_000938	NC_000938.1	Streptococcus thermophilus ST136 plasmid pER36, complete sequence	pER36	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3498	0.344483	NA	NA	NA	NA
NC_000948	NC_000948.1	Borrelia burgdorferi B31 plasmid cp32-1, complete sequence	cp32-1	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30750	0.293626	NA	NA	546	NA
NC_000949	NC_000949.1	Borrelia burgdorferi B31 plasmid cp32-3, complete sequence	cp32-3	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30223	0.288522	NA	NA	546	NA
NC_000950	NC_000950.1	Borrelia burgdorferi B31 plasmid cp32-4, complete sequence	cp32-4	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30299	0.292914	NA	NA	554	NA
NC_000951	NC_000951.1	Borrelia burgdorferi B31 plasmid cp32-6, complete sequence	cp32-6	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	29838	0.293384	NA	NA	554	NA
NC_000952	NC_000952.1	Borrelia burgdorferi B31 plasmid cp32-7, complete sequence	cp32-7	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30800	0.290747	NA	NA	558	NA
NC_000953	NC_000953.1	Borrelia burgdorferi B31 plasmid cp32-8, complete sequence	cp32-8	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30885	0.291339	NA	NA	546	NA
NC_000954	NC_000954.1	Borrelia burgdorferi B31 plasmid cp32-9, complete sequence	cp32-9	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	30651	0.293204	NA	NA	554	NA
NC_000955	NC_000955.2	Borrelia burgdorferi B31 plasmid lp21, complete sequence	lp21	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	18777	0.206476	NA	NA	NA	NA
NC_000956	NC_000956.1	Borrelia burgdorferi B31 plasmid lp56, complete sequence	lp56	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	52971	0.272885	NA	NA	0	NA
NC_000957	NC_000957.1	Borrelia burgdorferi B31 plasmid lp5, complete sequence	lp5	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	5228	0.238141	NA	NA	1	NA
NC_000958	NC_000958.1	Deinococcus radiodurans R1 plasmid MP1, complete sequence	MP1	Deinococcus radiodurans R1	Deinococcus radiodurans	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria	NA	NA	NA	megaplasmid	177466	0.631924	NA	NA	NA	NA
